age,city,job_title,seniority_level,language_at_work,company_size,company_type,salary,year,country,experience,skills,skills_2,employment_status,years_of_experience_in_germany,job_title_2,your_seniority_level,skills_3,company_industry,survey,salary_norm,job_category,z_score,modif_z_score
35.0,berlin,reporting engineer,medior,german,1000+,product,66146.80565849763,2020,de,3,power bi,"python, javascript / typescript, sql, sap / abap, google cloud, azure",full-time employee,2,,,,,it,1.4178467763808893,Other Engineers,-0.40043197061315244,0.44966666666666666
27.0,hamburg,account managet,senior,english,101-1000,product,57023.10832629106,2020,de,6,,,full-time employee,1,,,,,it,1.2222817037766287,Uncategorized,-1.116687388613496,1.686250000000002
32.0,berlin,product manager,other,german,11-50,consulting / agency,62725.419158920166,2020,de,8,,,full-time employee,8,,,,,it,1.3445098741542916,Project managers,0.033026511113046504,0.04496666666666667
33.0,munich,qa engineer,senior,english,1000+,product,68427.72999154928,2020,de,5,java,docker,full-time employee,1,,,,,it,1.4667380445319547,QA/Test Engineers,-0.7913070101323357,1.011750000000001
28.0,berlin,software engineer,executive,english,101-1000,product,91236.97332206569,2020,de,8,php ,"python, javascript / typescript, .net, sql, aws, azure, kubernetes, docker",full-time employee,3,,,,,it,1.955650726042606,Software Engineer,-0.6415814286006646,0.6745
31.0,munich,agile master,medior,german,1000+,product,91236.97332206569,2020,de,14,none,,full-time employee,7,,,,,it,1.955650726042606,Out of scope,0.41604633993986484,1.1991111111111112
32.0,munich,software engineer,senior,english,51-100,product,68427.72999154928,2020,de,7,android,kotlin,full-time employee,3,,,,,it,1.4667380445319547,Software Engineer,-0.7913070101323357,1.011750000000001
30.0,berlin,backend developer,senior,english,1000+,product,91236.97332206569,2020,de,8,scala,"python, kotlin, java / scala, sql, kubernetes, docker",full-time employee,2.5,,,,,it,1.955650726042606,Back End,-0.14054625317001604,0.3372499999999997
26.0,munich,backend developer,senior,english,101-1000,product,93517.89765511734,2020,de,7,java,,full-time employee,"1,5",,,,,it,2.004541994193671,Back End,-0.07547017747378404,0.4721499999999998
31.0,munich,software engineer,senior,english,1000+,product,77551.42732375584,2020,de,10,java,"python, javascript / typescript, sql, kubernetes, docker",full-time employee,2,,,,,it,1.662303117136215,Software Engineer,-0.5310027073474081,0.472150000000001
38.0,munich,qa engineer,medior,english,1000+,product,70708.65432460091,2020,de,6,java,,full-time employee,2,,,,,it,1.5156293126830196,QA/Test Engineers,-0.251981368694422,0.1498888888888889
37.0,berlin,software engineer,senior,english,11-50,startup,62725.419158920166,2020,de,10,php,"php, javascript / typescript, sql",full-time employee,3,,,,,it,1.3445098741542916,Software Engineer,-0.9539971993729159,1.3490000000000018
25.0,munich,software engineer,medior,english,101-1000,product,70708.65432460091,2020,de,3,java,"python, sql, aws, azure, kubernetes, docker",full-time employee,1,,,,,it,1.5156293126830196,Software Engineer,-0.251981368694422,0.1498888888888889
36.0,berlin,frontend developer,senior,english,up to 10,startup,82113.27598985913,2020,de,12,javascript,"javascript / typescript, aws, docker",full-time employee,4,,,,,it,1.7600856534383456,Front End,-0.40085055595494373,0.2023500000000002
27.0,munich,qa engineer,senior,english,1000+,product,72761.48622434739,2020,de,5,swift,"kotlin, ruby",full-time employee,1,,,,,it,1.5596314540189782,QA/Test Engineers,-0.6676624663094952,0.7554400000000014
35.0,frankfurt,ml engineer,senior,english,1000+,product,171069.3249788732,2020,de,12,ml,"python, java / scala, r, sql, aws, azure",full-time employee,10,,,,,it,3.6668451113298866,Data Scientist/ ML Engineer,2.1371163961981043,5.058750000000004
37.0,munich,software engineer,senior,german,101-1000,product,85534.6624894366,2020,de,15,php,"php, javascript / typescript, sql, docker",full-time employee,2,,,,,it,1.8334225556649433,Software Engineer,-0.3032364424105957,0.0
26.0,munich,data scientist,medior,english,101-1000,product,82113.27598985913,2020,de,3,python,"python, sql, aws, docker",full-time employee,2,,,,,it,1.7600856534383456,Data Scientist/ ML Engineer,0.11914513610240433,0.5995555555555562
33.0,frankfurt,solution architect,medior,english,1000+,product,142557.77081572765,2020,de,6,python,"sql, aws, google cloud, kubernetes, docker",full-time employee,6,,,,,it,3.0557042594415718,Architects,2.086115611525582,4.571611111111111
34.0,berlin,frontend developer,senior,english,up to 10,startup,74130.04082417837,2020,de,7,javascript,docker,full-time employee,1,,,,,it,1.5889662149096173,Front End,-0.628616820891756,0.6745000000000012
33.0,berlin,backend developer,executive,english,101-1000,product,74130.04082417837,2020,de,12,php,"javascript / typescript, sql, aws, docker",full-time employee,6,,,,,it,1.5889662149096173,Back End,-0.9687054826704912,1.349
,berlin,qa engineer,medior,english,101-1000,product,57023.10832629106,2020,de,6,javascript,"javascript / typescript, aws",full-time employee,6,,,,,it,1.2222817037766287,QA/Test Engineers,-0.6973331744506133,1.0492222222222223
29.0,berlin,backend developer,senior,english,101-1000,startup,82113.27598985913,2020,de,8,scala,"java / scala, aws, kubernetes, docker",full-time employee,0,,,,,it,1.7600856534383456,Back End,-0.40085055595494373,0.2023500000000002
24.0,munich,software engineer,medior,english,1000+,product,153962.39248098587,2020,de,5,c++,"javascript / typescript, go",full-time employee,2,,,,,it,3.300160600196898,Software Engineer,2.4572421163224085,5.3210555555555565
28.0,munich,qa engineer,medior,english,1000+,product,77551.42732375584,2020,de,6,,,full-time employee,2,,,,,it,1.662303117136215,QA/Test Engineers,-0.02930546581632641,0.2997777777777778
30.0,berlin,software engineer,senior,english,101-1000,product,85534.6624894366,2020,de,8,"scala, react.js","javascript / typescript, sql, aws, kubernetes, docker",full-time employee,2,,,,,it,1.8334225556649433,Software Engineer,-0.3032364424105957,0.0
28.0,cologne,bi consultant,senior,english,up to 10,consulting / agency,82113.27598985913,2020,de,8,sql,"python, javascript / typescript",full-time employee,1,,,,,it,1.7600856534383456,Consultant,-0.40085055595494373,0.2023500000000002
31.0,munich,backend developer,senior,english,1000+,product,95798.82198816899,2020,de,11,php,"javascript / typescript, java / scala, aws, kubernetes, docker",full-time employee,1,,,,,it,2.053433262344736,Back End,-0.010394101777552046,0.6070499999999999
28.0,munich,mobile developer,senior,english,1000+,product,74130.04082417837,2020,de,5,ios,swift,full-time employee,3,,,,,it,1.5889662149096173,Mobile,-0.628616820891756,0.6745000000000012
32.0,kempten,fullstack developer,medior,english and german,51-100,product,55882.64615976524,2020,de,10,c#,"javascript / typescript, .net, sql",full-time employee,1,,,,,it,1.1978360697010961,Full Stack Developers,-0.7344458249302959,1.1241666666666668
28.0,berlin,software engineer,senior,english,11-50,startup,159664.70331361497,2020,de,6,java,"kotlin, java / scala, sql, aws, kubernetes, docker",full-time employee,2,,,,,it,3.4223887705745604,Software Engineer,1.811736017716944,4.384250000000003
26.0,munich,data scientist,junior,english,1000+,product,93517.89765511734,2020,de,3,ml/python,"python, aws, docker",full-time employee,1,,,,,it,2.004541994193671,Data Scientist/ ML Engineer,0.9726218357932827,3.1130769230769233
33.0,berlin,mobile developer,medior,english,101-1000,product,79034.02814023942,2020,de,6,swift,,full-time employee,4,,,,,it,1.6940824414344076,Mobile,0.018940979807261244,0.3972055555555561
41.0,munich,product manager,medior,english,1000+,product,82113.27598985913,2020,de,18,,,full-time employee,3,,,,,it,1.7600856534383456,Project managers,0.11914513610240433,0.5995555555555562
31.0,berlin,software engineer,senior,english,11-50,startup,75270.5029907042,2020,de,9,"c#, .net core","python, javascript / typescript, .net, aws, azure, kubernetes, docker",full-time employee,1,,,,,it,1.61341184898515,Software Engineer,-0.5960787830436397,0.6070500000000005
30.0,munich,frontend developer,senior,english,51-100,product,85649.84916825569,2020,de,6,javascript,"javascript / typescript, aws, docker",full-time employee,1,,,,,it,1.8358915647065717,Front End,-0.29995010058793653,0.0068124499999989005
31.0,berlin,frontend developer,senior,english,101-1000,startup,79947.5383356266,2020,de,8,javascript/typescript,"javascript / typescript, google cloud, docker",full-time employee,1,,,,,it,1.713663394328909,Front End,-0.46264028982851624,0.3304375500000008
37.0,munich,backend developer,senior,english,101-1000,product,76410.96515723002,2020,de,12,php,"javascript / typescript, docker",full-time employee,4,,,,,it,1.6378574830606825,Back End,-0.563540745195524,0.5396000000000011
30.0,berlin,software engineer,executive,english,101-1000,startup,90096.51115553988,2020,de,10,python,"python, sql",full-time employee,5,,,,,it,1.9312050919670734,Software Engineer,-0.6633896988719864,0.7194666666666667
25.0,munich,backend developer,senior,english,101-1000,product,91236.97332206569,2020,de,5,java,"kotlin, java / scala, sql, sap / abap, kubernetes, docker",full-time employee,0,,,,,it,1.955650726042606,Back End,-0.14054625317001604,0.3372499999999997
36.0,berlin,backend developer,senior,english,101-1000,product,78691.88949028167,2020,de,19,php,"javascript / typescript, sql, aws, docker",full-time employee,5,,,,,it,1.6867487512117478,Back End,-0.49846466949929175,0.4047000000000004
40.0,berlin,frontend developer,medior,english,11-50,product,61584.95699239435,2020,de,7,javascript,"php, javascript / typescript, dart",full-time employee,1,,,,,it,1.3200642400787592,Front End,-0.5488825725318826,0.7494444444444437
37.0,berlin,product manager,medior,german,101-1000,product,141417.30864920182,2020,de,6,,,full-time employee,6,,,,,it,3.031258625366039,Project managers,2.0490029610458995,4.496666666666667
